District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Sutton,2900000,SCI,97,49,19,10,78,39,89,45,12,6,198,87,501.2,,
Swampscott,2910000,SCI,159,52,26,9,133,44,118,39,27,9,304,90,500.9,,
Swansea,2920000,SCI,163,52,20,6,143,46,118,38,31,10,312,94,500.3,,
TEC Connections Academy Commonwealth Virtual School District,39020000,SCI,64,64,17,17,47,47,25,25,11,11,100,62,507.5,,
Tantasqua,7700000,SCI,144,53,36,13,108,39,114,42,16,6,274,96,502.6,,
Taunton,2930000,SCI,246,25,20,2,226,23,497,50,248,25,991,92,485.1,,
Tewksbury,2950000,SCI,219,49,23,5,196,44,184,41,45,10,448,98,498.6,,
Tisbury,2960000,SCI,27,44,5,8,22,36,27,44,7,11,61,98,498.7,,
Topsfield,2980000,SCI,59,72,12,15,47,57,21,26,2,2,82,100,509.7,,
Triton,7730000,SCI,154,45,16,5,138,41,146,43,39,12,339,98,496.4,,
Truro,3000000,SCI,14,74,2,11,12,63,5,26,0,0,19,100,509.3,,
Tyngsborough,3010000,SCI,103,44,15,6,88,37,109,46,24,10,236,98,496.3,,
UP Academy Charter School of Boston (District),4800000,SCI,2,3,0,0,2,3,29,50,27,47,58,91,473.4,,
UP Academy Charter School of Dorchester (District),35050000,SCI,6,5,0,0,6,5,52,46,54,48,112,97,472,,
Up-Island Regional,7740000,SCI,50,60,9,11,41,49,25,30,9,11,84,98,500.8,,
Uxbridge,3040000,SCI,106,42,17,7,89,35,120,48,26,10,252,98,497.3,,
Veritas Preparatory Charter School (District),4980000,SCI,38,28,3,2,35,26,59,43,39,29,136,96,484.4,,
Wachusett,7750000,SCI,561,55,95,9,466,46,391,38,71,7,"1,023",96,502.5,,
Wakefield,3050000,SCI,262,54,45,9,217,45,184,38,40,8,486,96,501.7,,
Wales,3060000,SCI,11,48,0,0,11,48,10,43,2,9,23,96,494.9,,
Walpole,3070000,SCI,289,56,69,13,220,43,189,37,37,7,515,99,504.3,,
Waltham,3080000,SCI,221,30,36,5,185,25,313,43,195,27,729,97,487.5,,
Ware,3090000,SCI,70,36,10,5,60,31,87,45,38,19,195,96,491.3,,
Wareham,3100000,SCI,74,28,9,3,65,24,137,51,58,22,269,98,489.1,,
Watertown,3140000,SCI,171,47,36,10,135,37,143,40,47,13,361,99,498,,
Wayland,3150000,SCI,296,76,80,21,216,56,79,20,12,3,387,93,513.2,,
Webster,3160000,SCI,65,25,5,2,60,23,129,50,65,25,259,89,484.8,,
Wellesley,3170000,SCI,453,69,124,19,329,50,183,28,20,3,656,99,510.1,,
Wellfleet,3180000,SCI,5,38,1,8,4,31,5,38,3,23,13,87,498.8,,
West Boylston,3220000,SCI,63,53,12,10,51,43,45,38,10,8,118,92,502.4,,
West Bridgewater,3230000,SCI,78,40,9,5,69,35,91,47,26,13,195,93,494.4,,
West Springfield,3320000,SCI,188,36,24,5,164,31,226,43,107,21,521,95,491.7,,
Westborough,3210000,SCI,329,62,74,14,255,48,161,30,39,7,529,97,506.3,,
Westfield,3250000,SCI,235,37,30,5,205,32,289,45,114,18,638,91,491.9,,
Westford,3260000,SCI,490,69,125,17,365,51,199,28,26,4,715,98,509.8,,
Westhampton,3270000,SCI,9,56,2,13,7,44,7,44,0,0,16,94,506.4,,
Weston,3300000,SCI,219,73,89,30,130,44,70,23,9,3,298,99,516,,
Westport,3310000,SCI,107,50,18,8,89,41,81,38,27,13,215,96,499.5,,
Westwood,3350000,SCI,295,70,73,17,222,52,111,26,17,4,423,100,511.1,,
Weymouth,3360000,SCI,255,35,27,4,228,31,341,47,132,18,728,98,492.3,,
Whately,3370000,SCI,6,60,2,20,4,40,4,40,0,0,10,91,508,,
Whitman-Hanson,7800000,SCI,250,43,34,6,216,37,255,44,77,13,582,97,496.2,,
Williamsburg,3400000,SCI,11,52,0,0,11,52,8,38,2,10,21,81,499.3,,
Wilmington,3420000,SCI,220,50,36,8,184,42,185,42,36,8,441,93,500.1,,
Winchendon,3430000,SCI,54,31,2,1,52,30,90,52,29,17,173,97,490.7,,
Winchester,3440000,SCI,454,73,133,21,321,52,155,25,12,2,621,94,513.1,,
Winthrop,3460000,SCI,86,33,12,5,74,29,133,52,38,15,257,99,492.5,,
Woburn,3470000,SCI,252,40,36,6,216,34,285,45,100,16,637,96,494.3,,
Worcester,3480000,SCI,550,21,52,2,498,19,"1,152",45,868,34,"2,570",87,481.9,,
Wrentham,3500000,SCI,71,58,14,11,57,47,40,33,11,9,122,100,504.8,,
State,0,SCI,"49,372",42,"8,668",7,"40,704",34,"48,191",41,"20,446",17,"118,009",94,494.8,,
